timestamp,actual_demand,predicted,provisioned,cold_starts,idle_capacity,cost,is_extreme,base_prediction,sigma_t,buffer_t,cvar_col
2019-01-12 09:36:00,553495.0,639099.8267734121,639100.0,0.0,85605.0,85605.0,False,558389.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:37:00,559100.0,634205.8267734121,634206.0,0.0,75106.0,75106.0,False,553495.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:38:00,555599.0,639810.8267734121,639811.0,0.0,84212.0,84212.0,False,559100.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:39:00,570612.0,636309.8267734121,636310.0,0.0,65698.0,65698.0,False,555599.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:40:00,584966.0,651322.8267734121,651323.0,0.0,66357.0,66357.0,False,570612.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:41:00,571705.0,665676.8267734121,665677.0,0.0,93972.0,93972.0,False,584966.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:42:00,575588.0,652415.8267734121,652416.0,0.0,76828.0,76828.0,False,571705.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:43:00,565964.0,656298.8267734121,656299.0,0.0,90335.0,90335.0,False,575588.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:44:00,572865.0,646674.8267734121,646675.0,0.0,73810.0,73810.0,False,565964.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:45:00,617089.0,653575.8267734121,653576.0,0.0,36487.0,36487.0,False,572865.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:46:00,615697.0,697799.8267734121,697800.0,0.0,82103.0,82103.0,False,617089.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:47:00,621582.0,696407.8267734121,696408.0,0.0,74826.0,74826.0,False,615697.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:48:00,602921.0,702292.8267734121,702293.0,0.0,99372.0,99372.0,False,621582.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:49:00,590658.0,683631.8267734121,683632.0,0.0,92974.0,92974.0,False,602921.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:50:00,613440.0,671368.8267734121,671369.0,0.0,57929.0,57929.0,False,590658.0,30283.054231543145,80710.82677341202,2.665214220345806
2019-01-12 09:51:00,599705.0,694150.8267734121,694151.0,0.0,94446.0,94446.0,False,613440.0,30283.054231543145,80710.82677341202,2.665214220345806
